Lugar;Latitud;Longitud
EAFIT;6.197724;-75.579941
Colegio San ignacio;6.254069;-75.586685
Inem;6.206538;-75.577755
Colegio Maria Montessori;6.286836;-75.57494
Colegio la Inmaculada;6.221419;-75.598803
Universidad de Medellín;6.231613;-75.609844
Universidad Nacional;6.261658;-75.578054
UPB;6.242288;-75.589395
Politecnico Jaime Isaza Cadavid;6.211587;-75.577002
Universidad de Antioquia;6.267344;-75.569936
CES;6.208516;-75.553059
Clinica CES;6.257288;-75.565507
Hospital Pablo Tobon Uribe;6.276844;-75.579704
Hostipal San vicente;6.263616;-75.564387
Clinica Leon XIII;6.266925;-75.565408
Hospital Venancio Díaz Díaz;6.148318;-75.621556
IPS Sura los Molinos;6.233106;-75.604919
C.I. Hermeco S.A;6.212172;-75.579136
Edificio Bancolombia;6.228317;-75.575001
NOEL;6.210136;-75.584301
